6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
594 | VERIFIED_VERBATIM |  | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | edition and house style | David Hartlage, DMDavid, 21 Nov 2016 | Q=set the pattern for virtually every adventure to follow | TW=Gary's longer descriptions set the pattern for virtually every adventure to follow | CLAIM=Hartlage credits Gygax's longer location descriptions in G1 Steading of the Hill Giant Chief (1978) with setting the pattern for later adventures. | NOTE=Raw page, 'Gary Gygax sets the standard': 'Gary started publishing adventures with G1 Steading of the Hill Giant Chief (1978). He included generous descriptions for every location' then the quoted sen
595 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | plainness and economy | David Hartlage, DMDavid, 21 Nov 2016 | Q=pads it like a school paper stretched to an assigned length | TW=This description takes a good, middle sentence and pads it like a school paper stretched to an assigned length | CLAIM=Hartlage identifies the padding mechanism: the convention of long descriptions makes authors stretch a good middle sentence to an assigned length. | NOTE=Raw page, 'Longer descriptions', on the 1989 Gamescience Tegel B9 bedroom; the next sentence supplies the convention limb: 'The custom of longer description encourages authors to write something even 
596 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | place and institution description | David Hartlage, DMDavid, 21 Nov 2016 | Q=no one needs an item-by-item inventory of her kitchen | TW=A location's purpose in the game should also figure into the length of its descriptions ... no one needs an item-by-item inventory of her kitchen | CLAIM=Hartlage argues a location's length of description should follow its purpose in play, so a sheriff's kitchen needs no inventory. | NOTE=Raw page, 'Matching description to a location's purpose'. Both limbs exact: purpose governs length, and the sheriff example ('If the player characters meet the sheriff about a wanted poster').
597 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | omission as information | David Hartlage, DMDavid, 21 Nov 2016 | Q=An avalanche of description does more than squander page count | TW=An avalanche of description does more than squander page count. It buries many great details might actually enter play | CLAIM=Hartlage warns that excess description buries the details that would actually enter play. | NOTE=Raw page, same section; the following sentence is the Victor Wachter example buried in a page-long workroom description inside a 5-page mansion. (The source sentence carries a typo, 'many great detail
598 | VERIFIED_VERBATIM |  | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | boxed text form | David Hartlage, DMDavid, 21 Nov 2016 | Q=consolidates and identifies features that require description | TW=boxed text consolidates and identifies features that require description | CLAIM=Hartlage's defence of boxed text is that it consolidates and marks which features need describing. | NOTE=Raw page, 'Boxed, read-aloud text': 'Even though I seldom read-aloud text verbatim, boxed text consolidates and identifies features that require description. I like box text, but not every location ne
600 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | plainness and economy | Michael Curtis, quoted by David Hartlage, DMDavid, 2016 | Q=the minimum amount of information needed to run the dungeon | TW=Curtis explains that the format provides 'the minimum amount of information needed to run the dungeon' | CLAIM=Michael Curtis describes the one-page-dungeon style of Stonehell as giving the minimum information needed to run the dungeon. | NOTE=Raw page, 'The influence of one-page dungeons': 'Michael Curtis, author of the well-reviewed Stonehell megadungeon follows a style pioneered for one-page dungeons.' Quote continues '...allowing the re
601 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | concrete sensory noun | David Hartlage, DMDavid, 21 Nov 2016 | Q=focus on telling details and plot-critical information | TW=Descriptions should focus on telling details and plot-critical information-details I can use in play | CLAIM=Hartlage's rule for a dungeon key is that descriptions carry telling details and plot-critical information. | NOTE=Raw page, 'The ideal dungeon description'; stated as Hartlage's own prescription for a dungeon key, followed by 'Don't bury the evocative bits in lavish descriptions of sleeping pallets and rubbish.'
602 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | concrete sensory noun | Carl Sargent, B11 King's Festival (TSR, 1989), quoted by David Hartlage, DMDavid, 2024 | Q=A good DM details more than simply what PCs see | TW=A good DM details more than simply what PCs see. Don't forget noises ... smells ... and tactile senses | CLAIM=B11 King's Festival (1989) told DMs that good description goes beyond sight to noises, smells and touch. | NOTE=Raw HTML fetched direct (HTTP 200); the /tag/ URL serves the full post 'From B1 to Pinebrook...', 30 January 2024, by David Hartlage. Heading 'B11 King's Festival (1989) by Carl Sargent', subhead 'Des
603 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i589-603.json | per-speaker register | Bruce Cordell and Mike Mearls, H1 Keep on the Shadowfell (2008), paraphrased with a quoted | Q=greedy, bored, suspicious, tired, enthusiastic | TW=giving them an accent or favorite saying, showing them with a favorite thing like a lucky coin or pet cat, or adding a personality-related adjective | CLAIM=Keep on the Shadowfell (2008) told DMs to distinguish NPCs with an accent or favourite saying, a signature object, or a single personality adjective. | NOTE=Raw page, section 'H1 Keep on the Shadowfell (2008) by Bruce Cordell and Mike Mearls'. The quoted adjective run is exact and continues 'sly, nervous, dumb, zealous, and so on'; Hartlage paraphrases wi
604 | VERIFIED_VERBATIM |  | scholarship-history | dmdavid.com | verdicts-dnd-i604-618.json | other: character sketch shorthand | John Nephew, DDA2 Legions of Thyatis (TSR, 1990), quoted by David Hartlage, DMDavid, 2024 | Q=visualize him as an animal | TW=visualize him as an animal, and picture that animal as you describe | CLAIM=DDA2 Legions of Thyatis (1990) advised characterising an NPC by picturing him as an animal while describing him. | NOTE=Raw page (dmdavid.com tag archive carries the full 30 Jan 2024 post). Under heading 'DDA2 Legions of Thyatis (1990) by John Nephew' / 'Characterizing NPCs': 'One quick way to characterize an NPC is to
605 | VERIFIED_VERBATIM | FULL | scholarship-history | dmdavid.com | verdicts-dnd-i604-618.json | omission as information | Scott Fitzgerald Gray, The Hidden Halls of Hazacor (2018), quoted by David Hartlage, DMDav | Q=you can give the players a short summary instead | TW=When you decide things aren't important, give the players a short summary instead | CLAIM=The Hidden Halls of Hazacor (2018) told new DMs to replace unimportant sequences with a short summary. | NOTE=Raw page, section 'The Hidden Halls of Hazacor (2018) by Scott Fitzgerald Gray' / 'Summarize the boring parts': 'When you decide things aren't important, you can give the players a short summary inste
607 | VERIFIED_VERBATIM |  | scholarship-history | dmdavid.com | verdicts-dnd-i604-618.json | edition and house style | David Hartlage, DMDavid, 14 Feb 2023 | Q=buy an adventure, read the boxed text | TW=Casual DMs could simply buy an adventure, read the boxed text | CLAIM=Hartlage describes a fourth-edition design goal of letting a casual DM simply buy an adventure and read its boxed text. | NOTE=Raw page, post of February 14, 2023 by David Hartlage: 'Skill challenges satisfied three design goals... To make the DM's role undemanding. Casual DMs could simply buy an adventure, read the boxed tex
608 | VERIFIED_VERBATIM | FULL | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | boxed text form | Brian McKenzie, Analog Game Studies, 18 Dec 2023 | Q=marks its first appearance | TW=the 1980 adventure module The Hidden Shrine of Tamoachan marks its first appearance | CLAIM=McKenzie dates the first appearance of boxed read-aloud text in D&D to the 1980 module The Hidden Shrine of Tamoachan. | NOTE=Raw page, byline 'December 18, 2023 Brian McKenzie': 'Called read-aloud or boxed text (because it is typically set outside from the other text in a box), the 1980 adventure module The Hidden Shrine of
609 | VERIFIED_VERBATIM |  | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | boxed text form | Brian McKenzie, Analog Game Studies, 18 Dec 2023 | Q=Read-aloud text is analogous to | TW=Read-aloud text is analogous to 'at rise' descriptions | CLAIM=McKenzie argues D&D read-aloud text is the genre analogue of the theatre's 'at rise' stage description. | NOTE=Raw page: 'D&D adventure writers employ descriptive text in the same way as playwrights use “at rise” descriptions.' and 'Read-aloud text is analogous to “at rise” descriptions.' The page defines 'at 
610 | VERIFIED_VERBATIM |  | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | withheld information and inference | Harold Johnson and Jeff R. Leason, The Hidden Shrine of Tamoachan (1980), quoted by Brian  | Q=the DM should only provide vague information if questioned | TW=Hints of what may be done are given in this text | CLAIM=The Hidden Shrine of Tamoachan's own instruction is that its read-aloud text hints at what may be done and that the DM answer questions only vaguely. | NOTE=Raw page quotes the module: 'Hints of what may be done are given in this text and the DM should only provide vague information if questioned.' Introduced as 'The authors of The Hidden Shrine of Tamoac
611 | VERIFIED_VERBATIM |  | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | withheld information and inference | Brian McKenzie, Analog Game Studies, 18 Dec 2023 | Q=It offers clues and the frames narrative boundaries | TW=Read-aloud text is, in short, an aid to players | CLAIM=McKenzie's summary of the function of read-aloud text is that it offers clues and frames narrative boundaries. | NOTE=Raw page: 'Read-aloud text is, in short, an aid to players. It offers clues and the frames narrative boundaries.' Quote exact, including the source's own typo 'the frames'.
612 | VERIFIED_VERBATIM | FULL | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | boxed text form | Brian McKenzie, Analog Game Studies, 18 Dec 2023 | Q=one of the few—perhaps the only—academic discussions | TW=Cover offers one of the few - perhaps the only - academic discussions | CLAIM=McKenzie states that Jennifer Grouling Cover's is perhaps the only academic discussion of read-aloud text in tabletop adventures. | NOTE=Raw page: 'Cover offers one of the few—perhaps the only—academic discussions of read-aloud text in TTRPG adventures.' Quote exact with em dashes; the endnote identifies Cover as Jennifer Grouling Cove
613 | VERIFIED_VERBATIM | FULL | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | boxed text form | Michael Shea, quoted by Brian McKenzie, Analog Game Studies, 2023 | Q=our read-aloud text is part of our script | TW=if our D&D game is a Broadway show, our read-aloud text is part of our script | CLAIM=Michael Shea likens read-aloud text to the script of a Broadway show. | NOTE=Raw page: 'The prolific D&D author Michael Shea...makes an explicit connection between read-aloud text and drama: “if our D&D game is a Broadway show, our read-aloud text is part of our script.”' Endn
614 | VERIFIED_VERBATIM |  | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | boxed text form | Jeremy Crawford's poll, reported by Brian McKenzie, Analog Game Studies, 2023 | Q=2,248 replies | TW=saw 2,248 replies; 59.5% occasional, 34.4% lots, 6% none | CLAIM=A Twitter poll by D&D lead rules designer Jeremy Crawford drew 2,248 replies, of which 59.5% wanted occasional boxed text, 34.4% wanted lots and 6% wanted none. | NOTE=Raw page: 'A Twitter poll by D&D's current lead rules designer Jeremy Crawford saw 2,248 replies to the question “How much boxed text (aka read-aloud text) do you like in an adventure you run?” The re
615 | VERIFIED_VERBATIM | FULL | scholarship-history | dndbeyond.com | verdicts-dnd-i604-618.json | boxed text form | Shawn Merwin, 'Let's Design an Adventure: Boxed Text', D&D Beyond, 2019 | Q=as much a part of D&D's history and brand | TW=It's as much a part of D&D's history and brand as saving throws | CLAIM=Merwin calls boxed text as much a part of D&D's history and brand as saving throws, hit points and armor class. | NOTE=Raw page (dndbeyond.com, 'by Shawn Merwin', Nov 6, 2019), opening paragraph: 'It's as much a part of D&D's history and brand as saving throws, hit points, and armor class.' Quote exact (curly apostrop
618 | VERIFIED_VERBATIM |  | scholarship-history | analoggamestudies.org | verdicts-dnd-i604-618.json | edition and house style | Stefan Huddleston, Analog Game Studies, 18 Dec 2022 | Q=many early examples lack prose and narrative in favor of rules | TW=many early examples lack prose and narrative in favor of rules | CLAIM=Huddleston notes that many early tabletop rulebooks contain little prose or narrative, being given over to rules. | NOTE=Raw page, byline 'December 18, 2022 Stefan Huddleston', section 'Sidebar: A Note on Primary Sources': 'Presumably, TTRPG rule books have been ignored for their primary source value because many early 
620 | VERIFIED_VERBATIM | FULL | scholarship-history | analoggamestudies.org | verdicts-dnd-i619-633.json | terminology consistency | Meghan Hewitt, Analog Game Studies, 15 Dec 2024 | Q=descriptions do not change from one text to the other | TW=Strahd's suggested actions and descriptions do not change from one text to the other | CLAIM=Hewitt finds Strahd's suggested descriptions unchanged between texts even where his alignment changed. | NOTE=Raw page. Full sentence: 'Despite this, Strahd's suggested actions and descriptions do not change from one text to the other to reflect this change in alignment, directly contradicting the role of ali
621 | VERIFIED_VERBATIM | FULL | scholarship-history | analoggamestudies.org | verdicts-dnd-i619-633.json | edition and house style | Mark Hines, Analog Game Studies, 19 Mar 2023 | Q=style of heroism and clarity in description | TW=this style of adventure has gradually fallen out of style in favor of fifth edition's style of heroism and clarity in description | CLAIM=Hines contrasts Gygax's counterintuitive trap style with fifth edition's preference for clarity in description. | NOTE=Raw page (Mark Hines, 19 Mar 2023 byline confirmed). Preceding sentence: 'Many of the tricks and traps in Gygax's original adventure are indiscernible, devious, fatal, and intentionally counterintuiti
623 | VERIFIED_VERBATIM |  | scholarship-history | playingattheworld.blogspot.com | verdicts-dnd-i619-633.json | consequence on a household | Jon Peterson, Playing at the World, 3 Aug 2012 | Q=pays restitution for damages caused by his dragon | TW=The Wizard pays restitution for damages caused by his dragon's mischievous offspring | CLAIM=The items Peterson lists from that newsletter are civic and financial: a tax collection, restitution paid for damage done by a wizard's dragon's offspring, and a ruined tavern. | NOTE=Raw page. All three listed items are on the page in one paragraph: 'Inspector General John of Snyder comes to collect taxes.' / 'The Wizard pays restitution for damages caused by his dragon's mischiev
624 | VERIFIED_VERBATIM | FULL | scholarship-history | playingattheworld.blogspot.com | verdicts-dnd-i619-633.json | civic record register | Jon Peterson, Playing at the World, 3 Aug 2012 | Q=significant insight into the setting and the state of the campaign | TW=does not tell us a great deal about the system of Blackmoor, but it does give significant insight into the setting and the state of the campaign | CLAIM=Peterson says the earliest Blackmoor campaign newsletter tells little about the game system but much about the setting and the state of the campaign. | NOTE=Raw page. Both limbs are in one sentence about the Blackmoor Gazette and Rumormonger. 'Earliest' is supported: the post is on issue #1 and refers forward to 'the next issue of the BMG&R (which seems t
625 | VERIFIED_VERBATIM | FULL | scholarship-history | playingattheworld.blogspot.com | verdicts-dnd-i619-633.json | other: terminology history | Jon Peterson, Playing at the World, 31 Jan 2021 | Q=The earliest explicit use I've found was that of Pieter Roos | TW=The earliest explicit use I've found was that of Pieter Roos ... The Wild Hunt #15 (1977) | CLAIM=Peterson dates the earliest explicit use of 'immersion' he has found to Pieter Roos in The Wild Hunt #15 (1977). | NOTE=Raw page. Full sentence: 'The earliest explicit use I've found was that of Pieter Roos, as shown in this excerpt above from The Wild Hunt #15 (1977), where he identifies it as the overall goal of play
626 | VERIFIED_VERBATIM | FULL | scholarship-history | playingattheworld.blogspot.com | verdicts-dnd-i619-633.json | edition and house style | Jon Peterson, Playing at the World, 31 Jan 2021, on Mike Carr's B1 (1979) | Q=immerse yourself in the game setting | TW=Carr clearly connects 'playing your character's role' with his call to 'immerse yourself in the game setting' | CLAIM=Peterson identifies Mike Carr's B1 tips as connecting playing your character's role with a call to immerse yourself in the game setting. | NOTE=Raw page. The exhibit immediately preceding that sentence is 'The tips for players in his module In Search of the Unknown (B1)' (the excerpt image filename is 1979-b1-carr-tips.jpg), with Boot Hill na
627 | VERIFIED_VERBATIM |  | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | dm-facing sentence | Justin Alexander, 'The Art of the Key', The Alexandrian, 19 May 2014 | Q=almost universally terrible | TW=the location keys in published adventures are almost universally terrible | CLAIM=Alexander's verdict on the form is that location keys in published adventures are almost universally terrible. | NOTE=Raw page (Justin Alexander, The Alexandrian, May 19th, 2014, confirmed on page). Third sentence of the article: 'Which is why I find it fairly surprising that the location keys in published adventures
628 | VERIFIED_VERBATIM |  | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | edition and house style | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=instructional rather than practical | TW=The description of the key, however, was instructional rather than practical | CLAIM=Alexander describes the 1974 sample map's key as instructional rather than practical. | NOTE=Raw page, 'A Brief History of the Key' section: 'In 1974, the original edition of D&D included a "Sample Map" keyed with both numbers and letters. The description of the key, however, was instructiona
629 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | edition and house style | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=a staple at TSR for the better part of a decade | TW=the Gygax 'wall of text' key which would become a staple at TSR for the better part of a decade | CLAIM=Alexander says Gygax's undivided 'wall of text' key remained the TSR staple for the better part of a decade. | NOTE=Raw page, same section, on The Lost Caverns of Tsojconth. Quote verbatim. 'Undivided' is a fair gloss: Alexander's own contrast is with Blake's 'DM Only' split and with B1, which 'effectively created 
630 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | dm-facing sentence | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=section in each key entry | TW=he introduced that organization by including a 'DM Only' section in each key entry ... effectively accomplishing the same thing on a structural level | CLAIM=Bob Blake's 1976 Judges Guild keys split each entry with a 'DM Only' section, which Alexander reads as structurally the same move as later boxed text. | NOTE=Raw page. All limbs present: Bob Blake, Judges Guild, Gen Con IX Dungeons in the 1976 paragraph; the split entry; and 'Although not technically boxed text, this format was effectively accomplishing th
631 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | boxed text form | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=instead appearing between quotation marks | TW=the text was not yet boxed, instead appearing between quotation marks ... But in 1980, TSR reissued the module | CLAIM=Alexander reports that in the original Lost Tamoachan the read-aloud passages were set in quotation marks, and only the 1980 reissue put them in a box. | NOTE=Raw page, 'The Era of Boxed Text'. Both limbs: original Lost Tamoachan text 'not yet boxed, instead appearing between quotation marks', then 'But in 1980, TSR reissued the module as C1 The Hidden Shri
632 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | boxed text form | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=should be immediately shared with any PC entering the area | TW=the boxed text clearly delineated the elements ... that should be immediately shared with any PC entering the area | CLAIM=Alexander defines the function of boxed text as marking what a character entering the area learns immediately. | NOTE=Raw page, same section. Quote verbatim. Alexander does add that boxed text's role 'would be expanded' later to any read-aloud text, but the definitional limb the claim states is exactly his.
633 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i619-633.json | edition and house style | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=they appeared in that order and no other | TW=if they did appear then they appeared in that order and no other | CLAIM=The third edition standard format introduced by The Sunless Citadel fixed a set of bold-faced sections that had to appear in one order. | NOTE=Raw page, 'Adventure Formatting Guides': 3rd Edition's new 'standard format', 'First appearing in The Sunless Citadel', with 'a specific set of bold-faced sections' (Traps, Creatures, Tactics, Develop
634 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i634-648.json | plainness and economy | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=so you might as well write two or three paragraphs about it | TW=the format says you should have a “Tactics” section, so you might as well write two or three paragraphs about it | CLAIM=Alexander identifies the failure mode of a fixed section format as filling the format, writing paragraphs where nothing needed saying. | NOTE=Raw page fetched by curl (browser UA, HTTP 200). Quote verbatim in the 'Adventure Formatting Guides' section: the format 'tends to encourage writers to “fill the format”' and the orcs/swords example s
635 | VERIFIED_VERBATIM | FULL | scholarship-history | thealexandrian.net | verdicts-dnd-i634-648.json | other: order of information | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=should talk about the ogre first | TW=A room with an ogre standing in the middle of it should talk about the ogre first | CLAIM=Alexander argues the order of a location's description must follow what is salient there, an ogre in the open being named first and a hidden goblin not. | NOTE=Verbatim on the raw page; the very next clause supplies the hidden-goblin limb: 'a room with a goblin hiding behind a tapestry, on the other hand, shouldn’t lead off with the goblin.' Alexander frames
637 | VERIFIED_VERBATIM |  | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | boxed text form | Bryce Lynch, 'Review Standards', tenfootpole.org | Q=Boxed text is usually not a good thing. | TW=Boxed text is usually not a good thing. | CLAIM=Bryce Lynch's own list of what he looks for in an adventure module states that boxed text is usually not a good thing. | NOTE=Verbatim bullet inside the list under the page's own heading 'Review Standards / Bryce Lynch / What I’m looking for in an adventure module may not be what you are looking for.' Attribution limb ('his 
638 | VERIFIED_VERBATIM |  | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | plainness and economy | Bryce Lynch, 'Review Standards', tenfootpole.org | Q=Terse writing style | TW=Terse writing style | CLAIM=Bryce Lynch lists a terse writing style among the qualities he looks for in an adventure module. | NOTE=Verbatim bullet in the same Bryce Lynch 'what I’m looking for' list, two bullets after 'Evocative atmosphere.'
639 | VERIFIED_VERBATIM |  | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | concrete sensory noun | Bryce Lynch, 'Review Standards', tenfootpole.org | Q=Evocative atmosphere. | TW=Evocative atmosphere. | CLAIM=Bryce Lynch lists evocative atmosphere among the qualities he looks for in an adventure module. | NOTE=Verbatim bullet (with the period) in Bryce Lynch's own list on the raw page.
640 | VERIFIED_VERBATIM | FULL | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | other: backstory economy | Bryce Lynch, 'Review Standards', tenfootpole.org | Q=I don’t care about your epic backstory. | TW=I don’t care about your epic backstory. Give me a little to work with to get things going. | CLAIM=Bryce Lynch's standards reject epic backstory in an adventure module and ask only for enough to start play. | NOTE=Quote verbatim (curly apostrophe matches). The second sentence on the page supplies the 'only enough to start play' limb.
642 | VERIFIED_VERBATIM |  | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | plainness and economy | 'The Pretty Girl' (second reviewer), rating scale on tenfootpole.org 'Review Standards' | Q=Very wordy/ incomprehensible | TW=0 – Very wordy/ incomprehensible | CLAIM=On that same Language scale the lowest grade is reserved for writing that is very wordy or incomprehensible. | NOTE=Verbatim, including the space after the slash; it is the 0 rung, the lowest of the same 'The Pretty Girl' Language scale (4/2/1/0).
643 | VERIFIED_VERBATIM | FULL | usability-school | tenfootpole.org | verdicts-dnd-i634-648.json | other: backstory economy | Bryce Lynch, comment of 19 April 2016 on tenfootpole.org 'Review Standards' | Q=I LOATHE the overly long backstory | TW=I LOATHE the overly long backstory and fiction intro’s, but they are not on this list. | CLAIM=In a comment on his own standards page Bryce Lynch says he loathes overly long backstory and fiction introductions. | NOTE=Verbatim in the comments, attributed 'Bryce Lynch says: April 19, 2016 at 8:36 am' — date and 'fiction introductions' limb both confirmed.
644 | VERIFIED_VERBATIM |  | usability-school | thealexandrian.net | verdicts-dnd-i634-648.json | other: key format | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=almost universally terrible | TW=the location keys in published adventures are almost universally terrible | CLAIM=Justin Alexander judges the location keys of published adventures to be almost universally terrible. | NOTE=Verbatim in the article's third sentence. The cited /36903/ URL 301-redirects to /35180/roleplaying-games/the-art-of-the-key (verified with curl url_effective); both fetches returned the identical pag
645 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i634-648.json | boxed text form | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=prewritten text designed to be read aloud by the GM | TW=boxed text — prewritten text designed to be read aloud by the GM | CLAIM=Justin Alexander defines boxed text as prewritten text designed to be read aloud by the GM. | NOTE=Verbatim appositive in 'The Era of Boxed Text' section; it is Alexander's definitional gloss, exactly as claimed.
646 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i634-648.json | boxed text form | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=In either 1979 or 1980 | TW=In either 1979 or 1980, depending on how persnickety you want to get with definitions | CLAIM=Justin Alexander dates the first appearance of read-aloud boxed text to Lost Tamoachan and hedges between 1979 and 1980. | NOTE=Verbatim; the same sentence names 'Lost Tamoachan: The Hidden Shrine of Lubaatum' as where boxed text 'arrived for the first time'. Note the page later hedges further, giving Quest of the Fazzlewood (
647 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i634-648.json | other: information sequencing | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=should talk about the ogre first | TW=A room with an ogre standing in the middle of it should talk about the ogre first | CLAIM=Justin Alexander argues a room key must sequence information by what the players meet first, so a room with an ogre in the middle of it leads with the ogre. | NOTE=Verbatim; Alexander introduces it as 'that of sequencing information', and the hidden-goblin counter-example confirms the sequencing-by-what-is-met-first limb. Same sentence as index 635.
648 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i634-648.json | edition and house style | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=a rigid format ends up having the opposite effect | TW=Instead of making the information easy to parse and reference, a rigid format ends up having the opposite effect. | CLAIM=Justin Alexander argues that a rigid adventure format defeats its own aim of making information easy to parse and reference. | NOTE=Verbatim, and it is the closing sentence of Part 1 immediately before 'Go to Part 2'. The stated aim ('easy to parse and reference') is in the same sentence, so both limbs hold.
649 | VERIFIED_VERBATIM |  | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | edition and house style | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=it tends to encourage writers to “fill the format” | TW=it tends to encourage writers to “fill the format” | CLAIM=Justin Alexander says the standardized 3rd Edition adventure format encourages writers to fill the format with text that is not needed. | NOTE=Live page (HTTP 200, raw HTML fetched with a browser UA). Section 'ADVENTURE FORMATTING GUIDES' introduces the 3rd Edition 'standard format' (Traps/Creatures/Tactics/Development/Treasure, first in The
650 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: key format | Justin Alexander, 'The Art of the Key', The Alexandrian, 2014 | Q=the Gygax “wall of text” key | TW=featured the Gygax “wall of text” key which would become a staple at TSR for the better part of a decade | CLAIM=Justin Alexander labels the dense undifferentiated paragraph key that TSR used for most of a decade the Gygax wall of text. | NOTE=Section 'A BRIEF HISTORY OF THE KEY': 'The Lost Caverns of Tsojconth, on the other hand, featured the Gygax “wall of text” key which would become a staple at TSR for the better part of a decade:' Quot
652 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: information sequencing | Justin Alexander, 'The Art of the Key - Part 2', The Alexandrian, 2014 | Q=focus on the sequencing of information | TW=focus on the sequencing of information: How the information will flow... at the actual gaming table | CLAIM=Justin Alexander's alternative to a fixed key format is to order the entry by the sequence in which information will be wanted at the table. | NOTE=Opening of Part 2: 'We’ve already rejected the idea of a rigid or dogmatized format, but there has to be something better... The ultimate solution, in my experience, is to focus on the sequencing of i
653 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | other: information sequencing | Justin Alexander, 'The Art of the Key - Part 2', The Alexandrian, 2014 | Q=move from the general to the specific | TW=move from the general to the specific while paying particular attention to how the players are gaining that information | CLAIM=Justin Alexander tells key writers to move from the general to the specific as the players investigate. | NOTE=Section 'DEVELOPING SIGNIFICANT ELEMENTS': 'What you want to do is to move from the general to the specific while paying particular attention to how the players are gaining that information.' The inve
654 | VERIFIED_VERBATIM | FULL | usability-school | thealexandrian.net | verdicts-dnd-i649-663.json | dm-facing sentence | Justin Alexander, 'The Art of the Key - Part 2', The Alexandrian, 2014 | Q=the bold title makes it easy to find the information | TW=Notice that the bold title makes it easy to find the information you need | CLAIM=Justin Alexander bolds the name of each significant element in a room so the GM can find the matching information quickly. | NOTE=Section 'SIGNIFICANT ELEMENTS' shows each element with a bold lead-in (Old Jars:, Clay Pots/Urns:, Vats:) then: 'Notice that the bold title makes it easy to find the information you need. It also make
